,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
778,รักอลวนของคนใกล้ตัว,โอ มโย,로맨스,178963,8000000,132813,9.62,5,2015-05-17,2015-06-14,한국,아는사람 이야기,글/그림 오묘,61,9.95,304410,로맨스,"로맨스,완결로맨스",2012-04-20,2013-06-13,True,웹툰,5,False,True,28,419.0
779,เทพยุทธ์ ขูดขี้ไคล,ฮาอิลกวอน,개그,76375,4700000,60310,9.56,30,2015-01-24,2015-05-14,한국,목욕의 신,글/그림 하일권,31,9.98,178059,드라마,"드라마,직업드라마,완결드라마",2017-06-20,2018-01-16,True,웹툰,14,False,True,110,210.0
780,RAVE ผจญภัยเหนือโลก [รายเล่ม],Hiro Mashima,판타지,0,1077,149,8.2,1,2023-08-11,2023-08-11,일본,,,0,,0,,,,,,,0,False,True,0,
781,BLACK OUT ปมทมิฬ [รายเล่ม],Ryu Kisaragi / Masashi Asaki,드라마,0,488,32,7.75,1,2023-08-14,2023-08-14,일본,,,0,,0,,,,,,,0,False,True,0,
782,เจ้าสาวดอกส้ม,OMATO / Kim YunJi,로맨스,11215,275949,13450,8.14,5,2022-06-29,2022-07-13,한국,,,0,,0,,,,,,,0,False,True,14,
783,ความรักครั้งนี้จะดีไหมนะ?,OMATO / Haneuhyeon,로맨스,51268,1300000,43228,9.46,3,2022-02-26,2022-02-26,한국,,,0,,0,,,,,,,0,False,True,0,
784,คำสาปแห่งป่าทองคำ,รยูฮวา / กยอนจี,로맨스판타지,166209,3500000,82319,9.57,4,2021-08-03,2021-08-10,한국,황금숲,글 윤소리 출판사퀸즈셀렉션,131,9.8,29,로판,로판,2018-10-15,2023-06-22,True,시리즈,11,False,True,7,1711.0
785,เจ้าหนุ่มพลังถอด,ยุนโซฮัม,개그,71826,2200000,40431,8.27,8,2020-12-12,2021-01-16,한국,,,0,,0,,,,,,,0,False,True,35,
786,Taxi Driver,คาร์ลอส / ลีแจจิน,드라마,204074,5600000,109426,8.64,11,2021-05-07,2021-07-02,한국,,,0,,0,,,,,,,0,False,True,56,
787,Perfect Stranger อันตราย…ผู้ชายคนนี้ห้ามเข้าใกล้!,Cosine / 150LOC,로맨스,83132,1400000,39973,9.64,3,2022-03-24,2022-03-25,태국,,,0,,0,,,,,,,0,False,False,1,
788,รักแรกของหญิงทรงเจ้า,อันซูมิน,로맨스,791923,15500000,216665,9.81,7,2020-04-30,2020-05-28,한국,견우와 선녀,글/그림 안수민,156,9.97,280692,드라마,"드라마,완결드라마",2020-02-03,2023-01-23,True,웹툰,1,False,True,28,1085.0
789,คุณเป็นใครคะ ท่านประธาน,S.M.S,드라마,155007,2400000,59857,9.86,5,2021-12-14,2021-12-28,중국,,,0,,0,,,,,,,0,False,True,14,
790,มรดกอันยิ่งใหญ่,EUNSU / 0510,드라마,57154,1500000,38533,8.54,7,2022-04-09,2022-05-07,한국,위대한 유산,글 서은수 그림 0510,50,8.5,19032,드라마,"드라마,완결드라마",2022-11-07,2022-11-07,True,웹툰,1,False,True,28,0.0
791,HOWL,Misterz Hollowerz,판타지,845510,31900000,298532,9.69,21,2018-06-20,2018-10-24,태국,,,0,,0,,,,,,,0,False,False,126,
792,ลูกศิษย์ที่รัก,พยอลตัง / ยอนชิล,로맨스,57766,1900000,50046,8.19,3,2022-02-16,2022-02-16,한국,제자와 연인 사이,"글 carbo(도효원) 그림 별땅, 연실(엠스토리허브)",55,9.2,38,순정,순정,2021-12-15,2022-09-28,True,시리즈,4,False,True,0,287.0
793,เมื่อจักรวาลส่งรักแรกมาให้ฉัน,JEONG Halim / Gang,로맨스,99018,1800000,66050,9.74,3,2022-03-18,2022-03-18,한국,우주 최강의 첫사랑,글 정하림 그림 갱,48,9.86,60366,로맨스,"로맨스,계약연애,하이틴,완결로맨스",2021-12-29,2022-08-10,True,웹툰,1,False,True,0,224.0
794,The Retreats,Hyungwook Shin / Sunhee Kim,액션,20636,303107,12498,9.54,7,2022-01-27,2022-03-10,한국,리트리츠,글 신형욱 그림 김선희,50,9.84,23979,드라마,"드라마,아포칼립스,완결드라마",2021-11-18,2022-11-03,True,웹툰,9,False,True,42,350.0
795,Back to You... ย้อนเวลามาหารัก,ฮันนี่ บี,로맨스,299918,5400000,107621,9.66,9,2020-10-17,2020-11-28,한국,아는 여자애,글/그림 허니비,117,9.98,351990,로맨스,"로맨스,타임슬립,회귀,학원로맨스,삼각관계,완결로맨스",2020-01-05,2022-04-17,True,웹툰,3,False,True,42,833.0
